⺀	⿱丶丶
㗾	⿰口⿰革⿰亻𠤎
㗿	⿰口⿵門⿹丅口
㘀	⿰口⿱臼米
㘁	⿰口⿱罒⿱土⿱丷干
㘂	⿰口⿱⿱丷⿱一⿰幺幺心
㘃	⿰口⿱⿱艹⿸⿻丿一口心
㘄	⿰口⿰木⿱罒方
㘅	⿰口⿴行金
㘆	⿰口⿳⿱士口冖至
㘇	⿰口⿱⿱⿰火火冖木
㘈	⿰口⿰⿱匕矢⿱龴疋
㘉	⿰口⿱〾竹⿰艮卩
㘊	⿰口⿱雨言
㘋	⿰口⿱⿰臣又貝
㘌	⿰口⿰⿸虍豕刂
㘍	⿰口⿰⿱小隹戈
㘎	⿰口⿵门⿹⿰工攵〾甘
㘏	⿱⿺辶首⿰口𠤎
㘐	⿰口⿰馬⿱亠父
㘑	⿰口⿰⿱士示隶
㘒	⿰⿰禾⿻⿱丿土⿱日一⿰口𠤎
㘓	⿰口⿵門⿻十⿱⿴囗丷人
㘔	⿰口⿱⿳宀⿻龷一八貝
㘕	⿰口⿱艹⿱⿰臣⿱⿰丿一丶皿
㘖	⿰口⿰⿸产彡頁
㘗	⿰口⿱⿰目目隹
㘘	⿱⿰糸⿰訁糸口
㘙	⿰口⿱吅⿸厂⿹⿰工攵〾甘
㘚	⿰口⿵門⿹⿰工攵〾甘
㘛	⿰口⿱⿱亼口龍
㘜	⿱⿴⿰隹隹言口
㘝	⿴囗又
㘞	⿴囗力
㘟	⿴囗廾
㘠	⿴囗⿻心丿
㘡	⿴囗甲
㘣	⿴囗肙
㘤	⿴囗⿰氵𣶒
㘥	⿴囗⿰⿱爫缶⿱⿱一幺小
㘦	⿰土力
㘧	⿰土⿱龴⿱乛亅
㘨	⿰土⿻冂人
㘩	⿰土比
㘪	⿰土毛
㘫	⿰土井
㘬	⿰土⿹勹厶
㘮	⿰土尺
㘯	⿰土⿱⿰丿一力
㘰	⿰土斗
㘱	⿰土冉
㘲	⿰土⿸尸九
㘳	〾丘
㘴	⿻⿰口人土
㘵	⿰土⿸⿻丿一巾
㘶	⿱舛土
㘷	⿰土⿱艹乂
㘸	⿱⿸歹匕土
㘹	⿱⿰止匕土
㘺	⿰土⿰亻戈
㘻	⿰土⿴囗大
㘼	⿰土⿸耂丂
㘽	⿹⿶戈十土
㘾	⿰土⿱宀⿱一⿻亅一
㘿	⿰土⿱日土
㙀	⿰土⿱穴九
㙁	⿰土⿱⿰丿一母
㙂	⿰土⿱丷⿱口儿
㙃	⿰土⿱丘八
㙄	⿰土⿱比土
㙅	⿰土⿱口木
㙆	⿰土⿱宀厷
㙇	⿰土⿻豕丶
㙈	⿰土虎
㙊	⿰土長
㙋	⿰土⿱⿴龷二八
㙌	⿰土⿻肀⿲丿八丨
㙍	⿰土叕
㙎	⿰土⿵戌女
㙏	⿰土⿱⿱⿰丿一日夂
㙐	⿰土⿱山而
㙑	⿱⿵⿻⿱丿中冂⿰一丶土
㙒	⿱⿰田⿱龴⿱乛亅土
㙓	⿱⿱土⿰土土土
㙔	⿰土韋
㙕	⿰土⿱田月
㙖	⿰土⿵⿻⿱丿中冂⿰一丶
㙗	⿰土⿳田一〾卜
㙘	⿰土⿱覀女
㙙	⿱⿰氵⿺⿺尢彡丶土
㙚	⿰土⿱𦍌牛
㙛	⿰土尃
㙜	⿱高土
㙝	⿰土⿱⿱力⿰力力月
㙞	⿰土⿱自木
㙟	⿰土⿰⿱丶艮月
㙠	⿱⿰⿷匸矢殳土
㙡	⿰土⿰彳⿱从龰
㙢	⿰土㒼
㙣	⿰土⿰弓長
㙤	⿰土⿸虍⿱丿⿻亅䒑
㙥	⿰土⿰衤⿱几口
㙦	⿱⿰⿱亼朩斗土
㙧	⿰土⿱丣田
㙨	⿰土⿹⿻戈⿰幺幺人
㙩	⿰土尞
㙪	⿰土⿱⿳士冖⿱一口䒑
㙫	⿰土⿱隹木
㙬	⿱⿰來犬土
㙭	⿰土⿸厂⿰屰欠
㙮	⿰土⿱〾竹⿱亼口
㙯	⿱⿰坴⿵九丶⿱二厶
㙰	⿱⿰角⿱刀牛土
