⺀	⿱丶丶
㠋	〾崿
㠌	〾崎
㠍	⿱山集
㠎	⿰山集
㠏	⿰山華
㠐	⿱山喬
㠑	⿱山罪
㠒	⿰山剽
㠓	⿰山蒙
㠔	⿱山辟
㠕	〾嵬
㠖	⿱山義
㠗	〾岙
㠘	⿱山與
㠙	〾崤
㠚	⿰山對
㠛	⿰山⿱⿱艹隹又
㠜	〾嶷
㠝	⿰山賛
㠞	⿱徵山
㠟	⿰山黎
㠠	⿰山盧
㠡	⿰山⿴衣馬
㠢	⿱嵬衣
㠣	⿰山歷
㠤	⿰山襄
㠥	⿰山壘
㠦	⿰山豐
㠧	⿰山靡
㠨	⿰山⿳〾樊罒⿰艮寸
㠩	⿱亾〾川
㠪	〾巨
㠫	⿱⿰工凡夫
㠬	⿱⿰工口夫
㠭	⿰⿱工工⿱工工
㠮	⿰普工
㠰	⿱加己
㠱	⿱巳其
㠲	⿰巾匕
㠳	⿱𠆢巾
㠴	⿰巾刃
㠵	⿱亡巾
㠶	〾帆
㠷	⿰巾及
㠸	⿰巾夫
㠹	⿰巾介
㠺	⿰巾少
㠻	〾希
㠼	⿰巾斤
㠽	⿰巾冬
㠾	⿱夗巾
㠿	⿱此巾
㡁	⿰巾夸
㡂	⿱列巾
㡃	⿰巾⿱亾〾川
㡄	⿰巾旬
㡅	⿰巾多
㡆	⿰巾⿱亡〾川
㡇	⿰巾⿸耳乚
㡈	⿰巾免
㡉	⿰巾弦
㡊	〾帢
㡋	⿰巾奄
㡌	〾帽
㡍	⿱⿱白大巾
㡎	⿰巾参
㡏	⿰巾俞
㡐	⿰巾前
㡑	⿱秋巾
㡒	⿰巾盾
㡔	⿱⿰矛攵巾
㡕	⿰巾英
㡖	⿰巾重
㡗	⿰巾虒
㡘	⿰巾兼
㡙	⿰巾〾毗
㡚	⿰巾冓
㡛	⿰巾荒
㡜	⿰巾祭
㡝	⿰巾逢
㡞	⿰巾婁
㡟	⿰巾曹
㡠	⿰巾登
㡡	⿰巾厨
㡢	〾幔
㡤	⿰巾業
㡥	⿰巾⿱⿳爫工彐心
㡦	⿰巾賓
㡧	⿰巾⿱穴登
㡨	⿰巾⿹㦰韭
㡩	⿱⿰糸⿰訁糸巾
㡪	⿰巾〾婚
㡫	⿰幺曷
㡬	⿻⿰幺幺成
㡭	⿱〾絣〾絣
㡮	⿰幾气
㡯	〾度
㡰	〾宇
㡱	〾灸
㡲	⿸广戈
㡳	⿸广氏
㡴	⿸广立
㡵	⿸广令
㡶	⿸广只
㡷	⿸广本
㡸	⿸广乍
㡹	⿸广且
㡺	⿸广旦
㡻	〾寥
㡼	⿸广曳
㡽	⿸广聿
㡾	〾限
㡿	⿸广屰
㢀	⿸广朿
㢁	⿸广多
㢂	⿸广𠂤
㢃	⿸广良
㢄	⿸广豆
㢅	〾弄
㢆	⿸广里
㢇	⿸广言
㢈	⿸广隹
㢉	⿸广⿰禾乇
㢊	⿸广奇
㢋	⿸广侈
㢌	⿸广阿
㢍	⿸广英
㢏	〾逾
㢐	⿸广咼
㢑	⿸广隼
㢒	⿸广⿸虍且
㢓	〾瘴
㢔	⿸广從
㢕	⿸广⿰乡隹
㢖	⿸广番
㢗	⿸广喬
㢘	〾廉
㢙	⿸广勤
㢚	⿸广虜
㢛	⿸广僉
㢜	⿸广⿱廿思
㢝	⿸广穌
㢞	⿸广翼
㢟	⿺廴止
㢠	〾迥
㢡	⿱將廾
㢢	⿱敞廾
㢣	⿱敬廾
㢤	⿹⿶戈十勹
㢥	⿰同弋
㢦	⿰哥弋
㢧	〾卷
㢨	⿰弓干
㢩	⿰弓勺
㢪	⿰弓亏
㢫	⿰弓山
㢬	⿰弓厷
㢭	⿰弓攴
㢯	⿰弓民
㢰	⿰弓皮
㢱	⿰弓⿱厶小
㢲	⿳⿰弓弓一八
㢳	〾玈
㢵	⿰弓合
㢶	〾弼
㢷	⿰弓岁
㢸	⿰⿰弓弓攵
㢹	⿰弓辛
㢺	〾弦
㢻	⿰弓委
㢼	⿰弓㡀
㢽	⿰弭弓
㢾	⿰弓⿱覀土
㢿	⿰弓侯
㣀	⿰弓真
㣁	⿰弓⿸〾死用
㣂	⿰弓鬲
㣃	⿲弓育弓
㣄	⿰弓渠
㣅	⿰弓〾僭
㣆	⿰弓璽
㣈	⿰㣇㣇
㣉	〾工
㣊	〾修
㣋	〾丹
㣌	⿰占彡
㣍	⿰台彡
㣎	⿱〾泉彡
㣏	⿰⿱大早彡
㣐	⿰泉彡
㣑	〾容
㣒	⿰曾彡
㣓	⿰粲彡
㣔	⿰彳丁
㣕	⿰彳大
㣖	⿰彳太
㣗	⿰彳戶
㣘	⿰彳句
㣙	⿰彳由
㣚	⿰彳同
㣛	⿰彳合
㣜	⿰彳刑
㣝	⿰彳戎
㣞	⿰彳⿱公儿
㣟	⿰彳吉
㣠	〾佟
㣡	⿰彳仲
㣢	⿰彳弟
㣣	⿰彳⿻大⿰入入
㣤	⿰彳⿱戈戈
㣥	〾偫
㣦	⿰彳委
㣧	〾胤
㣨	⿰彳姑
